family	baseline_failed_as_expected	harness_ok	patch_acceptance_pass	worker_clean_success	failure_kind	attempts	worker_seconds	input_tokens	output_tokens
missing_family	false	false	false	false	other	0	0	0	0
off_by_one	true	true	true	true	none	1	5	200	20
